name,playcount,listeners,mbid,url,streamable
Yeah Yeah Yeahs,90997080,2633465,584c04d2-4acc-491b-8a0a-e63133f4bfc4,https://www.last.fm/music/Yeah+Yeah+Yeahs,0
Black Sabbath,111925215,2632915,5182c1d9-c7d2-4dad-afa0-ccfeada921a8,https://www.last.fm/music/Black+Sabbath,0
Queens of the Stone Age,153755962,2630261,7dc8f5bd-9d0b-4087-9f73-dc164950bbd8,https://www.last.fm/music/Queens+of+the+Stone+Age,0
3 Doors Down,61550960,2629556,2386cd66-e923-4e8e-bf14-2eebe2e9b973,https://www.last.fm/music/3+Doors+Down,0
Elvis Presley,78860597,2627540,01809552-4f87-45b0-afff-2c6f0730a3be,https://www.last.fm/music/Elvis+Presley,0
Florence + the Machine,186568933,2623838,5fee3020-513b-48c2-b1f7-4681b01db0c6,https://www.last.fm/music/Florence+%252B+the+Machine,0
My Chemical Romance,148694156,2614538,c07f0676-9143-4217-8a9f-4c26bd636f13,https://www.last.fm/music/My+Chemical+Romance,0
Bloc Party,110672963,2607720,8c538f11-c141-4588-8ecb-931083524186,https://www.last.fm/music/Bloc+Party,0
Shakira,78520057,2600866,bf24ca37-25f4-4e34-9aec-460b94364cfc,https://www.last.fm/music/Shakira,0
Papa Roach,84031461,2591393,c5eb9407-caeb-4303-b383-6929aa94021c,https://www.last.fm/music/Papa+Roach,0
Alicia Keys,56485301,2558613,8ef1df30-ae4f-4dbd-9351-1a32b208a01e,https://www.last.fm/music/Alicia+Keys,0
Bon Jovi,70081263,2557619,5dcdb5eb-cb72-4e6e-9e63-b7bace604965,https://www.last.fm/music/Bon+Jovi,0
Eric Clapton,55365576,2557065,618b6900-0618-4f1e-b835-bccb17f84294,https://www.last.fm/music/Eric+Clapton,0
Creedence Clearwater Revival,66217901,2554911,44c48a1b-defd-4222-bee6-03f9ee9a7be9,https://www.last.fm/music/Creedence+Clearwater+Revival,0
T.I.,34378007,2553669,f7ba7fbe-c6bd-4ac0-bee9-c25c558d7d62,https://www.last.fm/music/T.I.,0
The Clash,90726611,2546614,8f92558c-2baa-4758-8c38-615519e9deda,https://www.last.fm/music/The+Clash,0
Keane,71359243,2542252,c7020c6d-cae9-4db3-92a7-e5c561cbad50,https://www.last.fm/music/Keane,0
Simon & Garfunkel,69666196,2536370,5d02f264-e225-41ff-83f7-d9b1f0b1874a,https://www.last.fm/music/Simon+&+Garfunkel,0
Calvin Harris,86114821,2536204,8dd98bdc-80ec-4e93-8509-2f46bafc09a7,https://www.last.fm/music/Calvin+Harris,0
The Smiths,180432699,2534874,40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27,https://www.last.fm/music/The+Smiths,0
Pixies,112415592,2528633,b6b2bb8d-54a9-491f-9607-7b546023b433,https://www.last.fm/music/Pixies,0
Kasabian,87419020,2522931,69b39eab-6577-46a4-a9f5-817839092033,https://www.last.fm/music/Kasabian,0
Evanescence,109646630,2521608,f4a31f0a-51dd-4fa7-986d-3095c40c5ed9,https://www.last.fm/music/Evanescence,0
OneRepublic,70357211,2521036,c33c2065-b1c3-4406-b066-d33a9e2ea71a,https://www.last.fm/music/OneRepublic,0
Dr. Dre,44096545,2518469,5f6ab597-f57a-40da-be9e-adad48708203,https://www.last.fm/music/Dr.+Dre,0
Panic! at the Disco,132906971,2515380,b9472588-93f3-4922-a1a2-74082cdf9ce8,https://www.last.fm/music/Panic%21+at+the+Disco,0
Modest Mouse,131457560,2510103,a96ac800-bfcb-412a-8a63-0a98df600700,https://www.last.fm/music/Modest+Mouse,0
Slipknot,144720100,2508336,ceb7b6be-1dbb-4d80-b157-5588bc884764,https://www.last.fm/music/Slipknot,0
The Police,50605429,2500454,9e0e2b01-41db-4008-bd8b-988977d6019a,https://www.last.fm/music/The+Police,0
Disturbed,114380354,2495863,dc75517c-d268-486d-bd5b-0eaff34eeef9,https://www.last.fm/music/Disturbed,0
Fleetwood Mac,88203625,2488233,bd13909f-1c29-4c27-a874-d4aaf27c5b1a,https://www.last.fm/music/Fleetwood+Mac,0
The Cranberries,63682929,2466938,c98d40fd-f6cf-4b26-883e-eaa515ee2851,https://www.last.fm/music/The+Cranberries,0
The Shins,91800679,2458026,6c8b9855-ba8b-48f9-ac1d-42167f7f7b18,https://www.last.fm/music/The+Shins,0
Nelly Furtado,46854609,2455595,13655113-cd16-4b43-9dca-cadbbf26ee05,https://www.last.fm/music/Nelly+Furtado,0
Miley Cyrus,104509211,2445254,7e9bd05a-117f-4cce-87bc-e011527a8b18,https://www.last.fm/music/Miley+Cyrus,0
Sia,94344043,2434594,2f548675-008d-4332-876c-108b0c7ab9c5,https://www.last.fm/music/Sia,0
Jason Mraz,65261349,2428538,82eb8936-7bf6-4577-8320-a2639465206d,https://www.last.fm/music/Jason+Mraz,0
Limp Bizkit,78588426,2420787,8f9d6bb2-dba4-4cca-9967-cc02b9f4820c,https://www.last.fm/music/Limp+Bizkit,0
Wiz Khalifa,49460204,2410991,f5dfa020-ad69-41cd-b3d4-fd7af0414e94,https://www.last.fm/music/Wiz+Khalifa,0
Beastie Boys,80410847,2408141,9beb62b2-88db-4cea-801e-162cd344ee53,https://www.last.fm/music/Beastie+Boys,0
John Lennon,42175644,2401405,4d5447d7-c61c-4120-ba1b-d7f471d385b9,https://www.last.fm/music/John+Lennon,0
Stevie Wonder,48639185,2394618,c1aa2ec9-53e7-4d90-8d36-bac75832e986,https://www.last.fm/music/Stevie+Wonder,0
Interpol,129765073,2393314,c44ff8d1-8c81-45c8-abd6-5feefb07b764,https://www.last.fm/music/Interpol,0
Vampire Weekend,113356911,2387946,af37c51c-0790-4a29-b995-456f98a6b8c9,https://www.last.fm/music/Vampire+Weekend,0
Sum 41,94488966,2379439,f2eef649-a6d5-4114-afba-e50ab26254d2,https://www.last.fm/music/Sum+41,0
Three Days Grace,89885019,2379174,fabb37f8-eb2a-4cc1-a72a-b56935bbb72d,https://www.last.fm/music/Three+Days+Grace,0
2Pac,63770605,2379098,382f1005-e9ab-4684-afd4-0bdae4ee37f2,https://www.last.fm/music/2Pac,0
Gwen Stefani,35585092,2376207,2e41ae9c-afd2-4f20-8f1e-17281ce9b472,https://www.last.fm/music/Gwen+Stefani,0
Marilyn Manson,131666761,2364695,80cadd99-f560-41e3-babd-16292bbd248a,https://www.last.fm/music/Marilyn+Manson,0
Nicki Minaj,91396530,2357293,1036b808-f58c-4a3e-b461-a2c4492ecf1b,https://www.last.fm/music/Nicki+Minaj,0
The Fray,56362487,2355814,2ddd167f-5b8a-4372-b350-6ad50493bac0,https://www.last.fm/music/The+Fray,0
